language,model_level,n_participants,n_verbs,prior_regime,hypothesis,n_sims,p_bf_primary,p_bf_secondary,median_bf,mean_bf,p_convergence_ok
Turkish,L5_correlated_maximal,50,20,proposal,H1a_semantics_positive,400,1,1,988070.5824765575,694699.4528833798,0.9975
Turkish,L5_correlated_maximal,50,20,proposal,H1b_active_interaction_negative,400,0.5825,0.8175,13.962261049306218,2569.413321684308,0.9975
Turkish,L5_correlated_maximal,50,20,proposal,H2a_pseudo_positive,400,0.4375,0.73,8.00308378603898,2578.9360004814885,0.9975
Turkish,L5_correlated_maximal,50,20,proposal,H2b_pseudo_negative,400,0.0025,0.01,0.12495401546134566,0.3764616302044997,0.9975
Turkish,L5_correlated_maximal,50,20,weak,H1a_semantics_positive,200,0.995,1,981423.1975417305,636712.2463629892,0.995
Turkish,L5_correlated_maximal,50,20,weak,H1b_active_interaction_negative,200,0.725,0.875,25.051023111450732,35307.79299733898,0.995
Turkish,L5_correlated_maximal,50,20,weak,H2a_pseudo_positive,200,0.37,0.685,5.602896485520269,29.320322048094905,0.995
Turkish,L5_correlated_maximal,50,20,weak,H2b_pseudo_negative,200,0.01,0.035,0.1785152583669697,0.6924686026397663,0.995
Turkish,L5_correlated_maximal,60,20,proposal,H1a_semantics_positive,400,1,1,998999.5007208984,832127.3905192289,0.995
Turkish,L5_correlated_maximal,60,20,proposal,H1b_active_interaction_negative,400,0.725,0.8975,26.550631651226162,15098.900771144281,0.995
Turkish,L5_correlated_maximal,60,20,proposal,H2a_pseudo_positive,400,0.4775,0.7525,8.906904982087804,5104.233613883423,0.995
Turkish,L5_correlated_maximal,60,20,proposal,H2b_pseudo_negative,400,0,0.01,0.11227253558688557,0.30673952132638793,0.995
Turkish,L5_correlated_maximal,70,20,proposal,H1a_semantics_positive,200,1,1,991535.1039735978,858926.3245686652,0.995
Turkish,L5_correlated_maximal,70,20,proposal,H1b_active_interaction_negative,200,0.715,0.915,35.07000433077363,20175.123934465126,0.995
Turkish,L5_correlated_maximal,70,20,proposal,H2a_pseudo_positive,200,0.555,0.78,13.07559230816098,5218.101581871527,0.995
Turkish,L5_correlated_maximal,70,20,proposal,H2b_pseudo_negative,200,0,0.005,0.0764786708339585,0.27195561870788443,0.995
Turkish,L5_correlated_maximal,80,20,proposal,H1a_semantics_positive,200,1,1,999499.2503460713,965162.7950104448,0.99
Turkish,L5_correlated_maximal,80,20,proposal,H1b_active_interaction_negative,200,0.815,0.965,45.18918240299382,35453.204961654825,0.99
Turkish,L5_correlated_maximal,80,20,proposal,H2a_pseudo_positive,200,0.445,0.745,8.320422258086458,90.64572714768303,0.99
Turkish,L5_correlated_maximal,80,20,proposal,H2b_pseudo_negative,200,0,0.01,0.12018951943439544,0.329327428789768,0.99
Turkish,L5_correlated_maximal,90,20,proposal,H1a_semantics_positive,200,1,1,995260.2902590067,979140.5697450503,0.99
Turkish,L5_correlated_maximal,90,20,proposal,H1b_active_interaction_negative,200,0.85,0.955,67.41571136199973,30067.18964425885,0.99
Turkish,L5_correlated_maximal,90,20,proposal,H2a_pseudo_positive,200,0.585,0.825,15.579644398458381,215.81627183786748,0.99
Turkish,L5_correlated_maximal,90,20,proposal,H2b_pseudo_negative,200,0,0,0.06419186423756812,0.21450263450300047,0.99
Turkish,L5_correlated_maximal,100,20,proposal,H1a_semantics_positive,200,1,1,1004258.0776443838,996751.1103205922,0.99
Turkish,L5_correlated_maximal,100,20,proposal,H1b_active_interaction_negative,200,0.875,0.97,112.1786767976031,56107.065678751824,0.99
Turkish,L5_correlated_maximal,100,20,proposal,H2a_pseudo_positive,200,0.57,0.765,14.616061238004656,10389.793094407594,0.99
Turkish,L5_correlated_maximal,100,20,proposal,H2b_pseudo_negative,200,0,0.015,0.0685195307292737,0.31189499425944955,0.99
